MOF,Isotherm,Adsorbate,Temperature,OriginalUnits,Conv,DOI,Year,PoreVolIsot
CuBTC,10.1021cg401304x.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Cg401304x,2013,0.76
CuBTC,10.1002adma.201403827.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/adma.201403827,2014,0.764
CuBTC,10.1039c2jm31536j.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C2jm31536j,2012,0.765
CuBTC,10.1039c2cc34493a.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C2cc34493a,2012,0.793
CuBTC,10.1016j.micromeso.2008.10.035.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2008.10.035,2009,0.806
CuBTC,10.1007s10934-013-9692-4.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10934-013-9692-4,2013,0.815
CuBTC,10.1039c3ra40726h.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/C3ra40726h,2013,0.849
CuBTC,10.1016j.micromeso.2012.06.011.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.micromeso.2012.06.011,2012,0.857
CuBTC,10.1039c5ra23888a.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/c5ra23888a,2016,0.978
CuBTC,10.1016j.cattod.2012.03.034.isotherm1,Nitrogen,77,mmol/g,1.0,10.1016/j.cattod.2012.03.034,2012,11.344
IRMOF-1,10.1016j.snb.2014.05.051.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.snb.2014.05.051,2014,0.131
IRMOF-1,10.1007s1093401599976.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10934-015-9997-6,2015,0.138
IRMOF-1,10.1007s10562-012-0767-7.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10562-012-0767-7,2012,0.182
IRMOF-1,10.1021am3013104.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Am3013104,2012,0.269
IRMOF-1,10.1021ja8007159.isotherm1-1,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ja8007159,2008,0.271
IRMOF-1,10.1016j.talanta.2015.02.032.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.talanta.2015.02.032,2015,0.275
IRMOF-1,10.1016s2095-4956(14)60171-6.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/S2095-4956(14)60171-6,2014,0.293
IRMOF-1,10.1016j.enconman.2009.01.014.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.enconman.2009.01.014,2009,0.303
IRMOF-1,10.1016j.ijhydene.2010.04.066.isotherm3,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.ijhydene.2010.04.066,2010,0.321
IRMOF-1,10.1016j.tca.2014.04.016.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.tca.2014.04.016,2014,0.322
IRMOF-1,10.1016j.powtec.2013.07.034.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.powtec.2013.07.034,2013,0.354
IRMOF-1,10.1021ja105089w.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ja105089w,2010,0.364
IRMOF-1,10.1016j.ijhydene.2008.11.048.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.ijhydene.2008.11.048,2009,0.378
IRMOF-1,10.1016j.molliq.2015.02.009.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.molliq.2015.02.009,2015,0.399
IRMOF-1,10.1007s10450-010-9267-5.isotherm4,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10450-010-9267-5,2010,0.401
IRMOF-1,10.1039b908862h.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1039/B908862h,2009,0.403
IRMOF-1,10.1002adma.200901581.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/adma.200901581,2009,0.407
IRMOF-1,10.1016j.jhazmat.2010.11.019.isotherm8,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.jhazmat.2010.11.019,2011,0.414
IRMOF-1,10.1021ie300553k.isotherm2,Nitrogen,77,cm3(STP)/g,0.045,10.1021/Ie300553k,2012,0.52
IRMOF-1,10.1007s10934-009-9268-5.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s10934-009-9268-5,2009,0.689
IRMOF-1,10.1016j.ijhydene.2011.03.038.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1016/j.ijhydene.2011.03.038,2011,0.79
IRMOF-1,10.1021cm803502y.isotherm8,Nitrogen,77,mmol/g,1.0,10.1021/Cm803502y,2009,0.792
IRMOF-1,10.1002ejic.201201009.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1002/ejic.201201009,2013,0.813
IRMOF-1,10.1007s11090-011-9290-7.isotherm1,Nitrogen,77,cm3(STP)/g,0.045,10.1007/s11090-011-9290-7,2011,0.876
